level1,level2,level3,weight,weight_l2,direction,source,unit,sheet
人才,人才结构,人力资本结构高级化指数（高技能/低技能比值）,,0.1717,+,原指标,,全国
人才,人才发展环境,人才引进速度（加权指标，如高层次人才净流入率）,,0.3451,+,原“人才引进速度”，需构造,,全国
人才,人才发展环境,建成区绿化覆盖率（%）,,0.3451,+,原指标,,全国
人才,人才发展环境,人均建成区绿地面积（平方米/人）,,0.3451,+,原“建成区绿地面积”转化,,全国
人才,人才产出,人才平均职称当量（分值/人）,,0.1388,+,原指标，需构造,,全国
教育,教育质量,高中阶段毛入学率（%）,,0.127097,+,,,省份
教育,教育质量,高等教育毛入学率（%）,,0.127097,+,,,省份
教育,教育质量,义务教育巩固率（%）,,0.127097,+,,,省份
人才,人才规模,普通高等学校在校生人数 / 年末人口数量（%）,,0.19986,+,,,省份
人才,人才发展环境,人才引进速度（加权指标，如高层次人才净流入率）,,0.33464,+,,,省份
人才,人才发展环境,建成区绿化覆盖率（%）,,0.33464,+,,,省份
人才,人才发展环境,人均建成区绿地面积（平方米/人）,,0.33464,+,,,省份
人才,人才产出,人才平均职称当量（分值/人）,,0.407231,+,,,省份
教育,教育产出,每万人口普通高校发表科技论文数（篇/万人）,,,+,,,地级市
教育,教育产出,人均普通高校专利转让、许可收入（元/人）,,,+,,,地级市
教育,教育产出,每万人口普通高校出版科技著作数（部/万人）,,,+,,,地级市
教育,教育规模,高等教育毕业生数占常住人口比重（%）,,0.708124,+,,,地级市
教育,教育质量,高中阶段毛入学率（%）,,0.007004,+,,,地级市
教育,教育质量,高等教育毛入学率（%）,,0.007004,+,,,地级市
教育,教育质量,义务教育巩固率（%）,,0.007004,+,,,地级市
教育,教育质量,国家财政性教育经费占GDP比重（%）,,0.007004,+,,,地级市
教育,教育投入,生均教育经费支出（万元/人）,,0.284872,+,,,地级市
教育,教育投入,人均教育固定资产总值（万元/人）,,0.284872,+,,,地级市
教育,教育投入,教育从业人员占从业人员比重（%）,,0.284872,+,,,地级市
教育,教育投入,教育业平均工资与社会平均工资之比（%）,,0.284872,+,,,地级市
教育,教育投入,每万人口普通高校R&D全时人员数（人/万人）,,0.284872,+,,,地级市
教育,教育投入,每万人口普通高校R&D课题数（项/万人）,,0.284872,+,,,地级市
科技,科技投入,科技人员中高层次人才占比（%）,,0.317026,+,,,地级市
科技,科技产出,政府科技支出占财政支出比重（%）,,0.43961,+,,,地级市
科技,科技产出,人均技术市场交易额（元/人）,,0.43961,+,,,地级市
科技,科技产出,技术市场活跃度（技术交易额/GDP）,,0.43961,+,,,地级市
科技,科技基础,每百万人口研究与开发机构数（个/百万人）,,0.053215,+,,,地级市
科技,科技基础,每百万人口高技术产业企业数（个/百万人）,,0.053215,+,,,地级市
科技,科技环境,政府支持力度（科技拨款/财政支出）,,0.190149,+,,,地级市
人才,人才规模,规模以上工业企业R&D人员全时当量（人年）→ 每万人口全时当量（人年/万人）,,0.324369,+,,,地级市
人才,人才结构,高级职称人才占从业人员比例（%）,,0.139677,+,,,地级市
人才,人才结构,人力资本结构高级化指数（高技能/低技能比值）,,0.139677,+,,,地级市
人才,人才发展环境,人才引进速度（加权指标，如高层次人才净流入率）,,0.254018,+,,,地级市
人才,人才发展环境,科研人员平均工资水平（万元/年）,,0.254018,+,,,地级市
人才,人才发展环境,科研人员人均科技研发经费投入（万元/人）,,0.254018,+,,,地级市
人才,人才产出,人才平均职称当量（分值/人）,,0.281936,+,,,地级市
人才,人才产出,人才平均科技论文（篇/人）,,0.281936,+,,,地级市
人才,人才产出,人才平均科技成果（项/人）,,0.281936,+,,,地级市
人才,人才产出,人才平均专利数（件/人）,,0.281936,+,,,地级市
