level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.0571,+,原“普通高校数量” → 除以常住人口（百万人）  【模糊候选: 普通高校数量(0.895) | 每万人口高校毕业生数(0.636) | 普通高等学校在校生人数/年末人口(0.5)】,,全国,0.031,fuzzy,普通高校数量,,0.895
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.2427,+,原“中小学学校数量” → 除以常住人口  【模糊候选: 中小学学校数量(0.895) | 每万人口高校毕业生数(0.545)】,,全国,0.031,fuzzy,中小学学校数量,,0.895
教育,教育规模,万人大学生数（人/万人）,0.1291,+,原已为相对量，保留,,全国,0.031,exact,万人大学生数,,0.95
教育,教育规模,每万人口高校毕业生数（人/万人）,0.1686,+,原已为相对量，保留,,全国,0.031,exact,每万人口高校毕业生数,,0.95
教育,教育规模,高等教育毕业生数占常住人口比重（%）,0.3345,+,原“高等教育普通本专科毕业生数+研究生毕业生数” → 除以常住人口  【模糊候选: 高等教育普通本专科学生毕（结）业生数(0.533) | 每万人口高校毕业生数(0.467) | 教育从业人员占从业人员比重(0.467)】,,全国,0.031,fuzzy,高等教育普通本专科学生毕（结）业生数,,0.533
教育,教育规模,生师比（学生数/专任教师数）,0.068,+,原“专任教师数/学生数”取倒数，并作为负向指标  【模糊候选: 普通高校专任教师数与在校学生数之比(0.2)】,,全国,0.031,fuzzy,普通高校专任教师数与在校学生数之比,,0.2
教育,教育质量,人均受教育年限（年）,0.1568,+,原已为相对量，保留,,全国,0.1796,exact,人均受教育年限,,0.95
教育,教育质量,高中阶段毛入学率（%）,0.1839,+,原已为相对量，保留  【模糊候选: 毛入学率（高等教育）(0.85) | 毛入学率（高中阶段）(0.85)】,,全国,0.1796,fuzzy,毛入学率（高等教育）,,0.85
教育,教育质量,高等教育毛入学率（%）,0.2603,+,原已为相对量，保留  【模糊候选: 毛入学率（高等教育）(0.85) | 毛入学率（高中阶段）(0.85)】,,全国,0.1796,fuzzy,毛入学率（高等教育）,,0.85
教育,教育质量,义务教育巩固率（%）,0.1727,+,原已为相对量，保留,,全国,0.1796,exact,义务教育巩固率,,0.95
教育,教育质量,国家财政性教育经费占GDP比重（%）,0.2263,+,原已为占比，保留,,全国,0.1796,exact,国家财政性教育经费占GDP比重,,0.95
教育,教育投入,生均教育经费支出（万元/人）,0.2553,+,原已为人均，保留,,全国,0.5546,exact,生均教育经费支出,,0.95
教育,教育投入,教育支出占财政支出比重（%）,0.1369,+,原“教育支出水平”明确为占比  【模糊候选: 教育从业人员占从业人员比重(0.556) | 国家财政性教育经费占GDP比重(0.467) | 教育支出水平(0.444)】,,全国,0.5546,fuzzy,教育从业人员占从业人员比重,,0.556
教育,教育投入,人均教育固定资产总值（万元/人）,0.1363,+,原“教育固定资产总值” → 除以常住人口  【模糊候选: 教育固定资产总值(1.0) | 人均受教育年限(0.4) | 教育业平均工资/万元(0.4)】,,全国,0.5546,fuzzy,教育固定资产总值,,1.0
