level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.059936,+,nan  【模糊候选: 普通高校数量(0.895) | 每万人口在校高校学生数(0.636) | 每万人口高校毕业生数(0.636)】,,地级市,0.708124,fuzzy,普通高校数量,,0.895
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.705998,+,nan  【模糊候选: 中小学学校数量(0.895) | 每万人口在校高校学生数(0.636) | 每万人口高校毕业生数(0.545)】,,地级市,0.708124,fuzzy,中小学学校数量,,0.895
教育,教育规模,万人大学生数（人/万人）,0.049446,+,,,地级市,0.708124,exact,万人大学生数,,0.95
教育,教育规模,每万人口高校毕业生数（人/万人）,0.184557,+,,,地级市,0.708124,exact,每万人口高校毕业生数,,0.95
教育,教育规模,生师比（学生数/专任教师数）,6.3e-05,+,nan  【模糊候选: 普通高校专任教师数与在校学生数之比(0.2)】,,地级市,0.708124,fuzzy,普通高校专任教师数与在校学生数之比,,0.2
教育,教育质量,人均受教育年限（年）,1.0,+,,,地级市,0.007004,exact,人均受教育年限,,0.95
教育,教育投入,教育支出占财政支出比重（%）,1.0,+,nan  【模糊候选: 教育支出水平(0.444)】,,地级市,0.284872,fuzzy,教育支出水平,,0.444
科技,科技投入,每万人口科技人员数（人/万人）,0.352563,+,nan  【模糊候选: 每万人口在校高校学生数(0.5) | 每万人口高校毕业生数(0.5) | 科技人员投入强度(0.5)】,,地级市,0.317026,fuzzy,每万人口在校高校学生数,,0.5
科技,科技投入,R&D经费占GDP比重（%）,0.352563,+,nan  【模糊候选: R&D人员/年末从业人员数(0.273) | 科研经费投入强度(0.2) | 科研经费投入力度(0.2)】,,地级市,0.317026,fuzzy,R&D人员/年末从业人员数,,0.273
科技,科技投入,人均R&D经费（元/人）,0.294874,+,nan  【模糊候选: R&D人员/年末从业人员数(0.364) | 人均受教育年限(0.286) | 人才经济系数(0.286)】,,地级市,0.317026,fuzzy,R&D人员/年末从业人员数,,0.364
科技,科技产出,每万人口发明专利授权数（件/万人）,0.513423,+,nan  【模糊候选: 发明专利授予数（个）(0.545) | 实用新型专利申请授权数（件）(0.455) | 每万人口在校高校学生数(0.455)】,,地级市,0.43961,fuzzy,发明专利授予数（个）,,0.545
科技,科技产出,每万人口实用新型授权数（件/万人）,0.192545,+,nan  【模糊候选: 实用新型专利申请授权数（件）(0.636) | 每万人口在校高校学生数(0.455) | 每万人口高校毕业生数(0.455)】,,地级市,0.43961,fuzzy,实用新型专利申请授权数（件）,,0.636
科技,科技产出,人均新产品销售收入（元/人）,0.294032,+,nan  【模糊候选: 新产品销售收入/亿元(0.7)】,,地级市,0.43961,fuzzy,新产品销售收入/亿元,,0.7
科技,科技基础,科学技术水平（综合指数）,0.033615,+,nan  【模糊候选: 科学支出水平(0.667)】,,地级市,0.053215,fuzzy,科学支出水平,,0.667
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.009427,+,nan  【模糊候选: 工业机器人密度(0.455) | 每万人口高校毕业生数(0.455)】,,地级市,0.053215,fuzzy,工业机器人密度,,0.455
科技,科技基础,人工智能应用水平（指数或渗透率）,0.026037,+,nan  【模糊候选: 人工智能应用水平(‰)(1.0)】,,地级市,0.053215,fuzzy,人工智能应用水平(‰),,1.0
科技,科技基础,互联网普及率（%）,0.036777,+,nan  【模糊候选: 互联网普及度(0.833)】,,地级市,0.053215,fuzzy,互联网普及度,,0.833
科技,科技基础,人均电信业务量（元/人）,0.881518,+,nan  【模糊候选: 电信业务总量(0.714)】,,地级市,0.053215,fuzzy,电信业务总量,,0.714
科技,科技基础,产业结构高级化指数（三产/二产）,0.010459,+,nan  【模糊候选: 产业结构高级化(1.0) | 产业结构指数(0.667)】,,地级市,0.053215,fuzzy,产业结构高级化,,1.0
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.002167,+,,,地级市,0.053215,exact,产业结构指数,,0.95
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.37796,+,nan  【模糊候选: 科研经费利用效果(0.875) | 科研经费投入强度(0.5) | 科研经费投入力度(0.5)】,,地级市,0.190149,fuzzy,科研经费利用效果,,0.875
科技,科技环境,全员劳动生产率（万元/人）,0.046476,+,,,地级市,0.190149,exact,全员劳动生产率,,0.95
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,4.5e-05,+,nan  【模糊候选: 综合能耗产出率(0.444)】,,地级市,0.190149,fuzzy,综合能耗产出率,,0.444
科技,科技环境,资源利用指数（综合）,0.4776,+,,,地级市,0.190149,exact,资源利用指数,,0.95
科技,科技环境,环境污染治理投资占GDP比重（%）,0.097919,+,nan  【模糊候选: 环境污染治理投资额(0.571)】,,地级市,0.190149,fuzzy,环境污染治理投资额,,0.571
人才,人才规模,人才人口密度（人/平方公里）,0.066609,+,,,地级市,0.324369,exact,人才人口密度,,0.95
人才,人才规模,普通高等学校在校生人数 / 年末人口数量（%）,0.197854,+,nan  【模糊候选: 普通高等学校在校生人数/年末人口(0.875) | 普通高校专任教师数与在校学生数之比(0.5) | 每万人口在校高校学生数(0.5)】,,地级市,0.324369,fuzzy,普通高等学校在校生人数/年末人口,,0.875
