level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.115252,+,nan  【模糊候选: 普通高校数量(0.895) | 每万人口高校毕业生数(0.636) | 普通高校R&D全时人员数（人年）(0.5)】,,省份,0.085847,fuzzy,普通高校数量,,0.895
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.140097,+,nan  【模糊候选: 中小学学校数量(0.895) | 每万人口高校毕业生数(0.545)】,,省份,0.085847,fuzzy,中小学学校数量,,0.895
教育,教育规模,万人大学生数（人/万人）,0.041776,+,,,省份,0.085847,exact,万人大学生数,,0.95
教育,教育规模,每万人口高校毕业生数（人/万人）,0.126668,+,,,省份,0.085847,exact,每万人口高校毕业生数,,0.95
教育,教育规模,高等教育毕业生数占常住人口比重（%）,0.555823,+,nan  【模糊候选: 高等教育普通本专科学生毕（结）业生数(0.533) | 每万人口高校毕业生数(0.467) | 教育从业人员占从业人员比重(0.467)】,,省份,0.085847,fuzzy,高等教育普通本专科学生毕（结）业生数,,0.533
教育,教育规模,生师比（学生数/专任教师数）,0.020384,+,nan  【模糊候选: 普通高校专任教师数与在校学生数之比(0.2)】,,省份,0.085847,fuzzy,普通高校专任教师数与在校学生数之比,,0.2
教育,教育质量,人均受教育年限（年）,0.139658,+,,,省份,0.127097,exact,人均受教育年限,,0.95
教育,教育质量,国家财政性教育经费占GDP比重（%）,0.860342,+,,,省份,0.127097,exact,国家财政性教育经费占GDP比重,,0.95
教育,教育投入,生均教育经费支出（万元/人）,0.019293,+,,,省份,0.21055,exact,生均教育经费支出,,0.95
教育,教育投入,教育支出占财政支出比重（%）,0.058095,+,nan  【模糊候选: 教育从业人员占从业人员比重(0.556) | 国家财政性教育经费占GDP比重(0.467) | 教育支出水平(0.444)】,,省份,0.21055,fuzzy,教育从业人员占从业人员比重,,0.556
教育,教育投入,人均教育固定资产总值（万元/人）,0.102215,+,nan  【模糊候选: 教育固定资产总值(1.0) | 人均受教育年限(0.4) | 教育业平均工资/万元(0.4)】,,省份,0.21055,fuzzy,教育固定资产总值,,1.0
教育,教育投入,教育从业人员占从业人员比重（%）,0.679826,+,,,省份,0.21055,exact,教育从业人员占从业人员比重,,0.95
教育,教育投入,教育业平均工资与社会平均工资之比（%）,0.033506,+,nan  【模糊候选: 教育业平均工资/万元(0.583)】,,省份,0.21055,fuzzy,教育业平均工资/万元,,0.583
教育,教育投入,每万人口普通高校R&D全时人员数（人/万人）,0.047105,+,nan  【模糊候选: 普通高校R&D全时人员数（人年）(1.0) | 普通高校R&D课题数(0.533) | 每万人口高校毕业生数(0.467)】,,省份,0.21055,fuzzy,普通高校R&D全时人员数（人年）,,1.0
教育,教育投入,每万人口普通高校R&D课题数（项/万人）,0.05996,+,nan  【模糊候选: 普通高校R&D课题数(1.0) | 普通高校R&D全时人员数（人年）(0.643) | 每万人口高校毕业生数(0.5)】,,省份,0.21055,fuzzy,普通高校R&D课题数,,1.0
教育,教育产出,每万人口普通高校发表科技论文数（篇/万人）,0.09754,+,nan  【模糊候选: 普通高校发表论文数(0.6) | 每万人口高校毕业生数(0.467) | 普通高校R&D全时人员数（人年）(0.4)】,,省份,0.576506,fuzzy,普通高校发表论文数,,0.6
教育,教育产出,人均普通高校专利转让、许可收入（元/人）,0.853591,+,nan  【模糊候选: 普通高校专利转让、许可收入(1.0)】,,省份,0.576506,fuzzy,普通高校专利转让、许可收入,,1.0
教育,教育产出,每万人口普通高校出版科技著作数（部/万人）,0.048869,+,nan  【模糊候选: 普通高校出版著作数(0.6) | 每万人口高校毕业生数(0.467) | 普通高校R&D全时人员数（人年）(0.4)】,,省份,0.576506,fuzzy,普通高校出版著作数,,0.6
科技,科技投入,每万人口科技人员数（人/万人）,0.113822,+,nan  【模糊候选: 每万人口高校毕业生数(0.5) | 科技人员投入强度(0.5) | 科技人员投入质量(0.5)】,,省份,0.599848,fuzzy,每万人口高校毕业生数,,0.5
科技,科技投入,科技人员中高层次人才占比（%）,0.292001,+,nan  【模糊候选: 高级职称人才占人口比例(0.455)】,,省份,0.599848,fuzzy,高级职称人才占人口比例,,0.455
科技,科技投入,R&D经费占GDP比重（%）,0.113821,+,nan  【模糊候选: 国家财政性教育经费占GDP比重(0.533)】,,省份,0.599848,fuzzy,国家财政性教育经费占GDP比重,,0.533
科技,科技投入,人均R&D经费（元/人）,0.480356,+,nan  【模糊候选: 生均教育经费支出(0.375) | R&D人员/年末从业人员数(0.364) | 普通高校R&D全时人员数（人年）(0.333)】,,省份,0.599848,fuzzy,生均教育经费支出,,0.375
科技,科技产出,政府科技支出占财政支出比重（%）,0.037492,+,nan  【模糊候选: 政府科技投入强度(0.4)】,,省份,0.199969,fuzzy,政府科技投入强度,,0.4
科技,科技产出,每万人口发明专利授权数（件/万人）,0.138968,+,nan  【模糊候选: 发明专利授予数(0.545) | 实用新型专利申请授权数(0.455) | 每万人口高校毕业生数(0.455)】,,省份,0.199969,fuzzy,发明专利授予数,,0.545
科技,科技产出,每万人口实用新型授权数（件/万人）,0.141612,+,nan  【模糊候选: 实用新型专利申请授权数(0.636) | 每万人口高校毕业生数(0.455)】,,省份,0.199969,fuzzy,实用新型专利申请授权数,,0.636
科技,科技产出,人均技术市场交易额（元/人）,0.175942,+,nan  【模糊候选: 技术市场交易额/万元(0.7) | 技术市场活跃度(0.444)】,,省份,0.199969,fuzzy,技术市场交易额/万元,,0.7
科技,科技产出,技术市场活跃度（技术交易额/GDP）,0.367304,+,,,省份,0.199969,exact,技术市场活跃度,,0.95
科技,科技产出,人均新产品销售收入（元/人）,0.138682,+,nan  【模糊候选: 新产品销售收入(1.0)】,,省份,0.199969,fuzzy,新产品销售收入,,1.0
科技,科技基础,科学技术水平（综合指数）,0.071056,+,nan  【模糊候选: 科学支出水平(0.667)】,,省份,0.038302,fuzzy,科学支出水平,,0.667
