level1,level2,level3,weight,direction,source,unit,sheet,weight_l2
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.0571,+,原“普通高校数量” → 除以常住人口（百万人）,,全国,0.031
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.2427,+,原“中小学学校数量” → 除以常住人口,,全国,0.031
教育,教育规模,万人大学生数（人/万人）,0.1291,+,原已为相对量，保留,,全国,0.031
教育,教育规模,每万人口高校毕业生数（人/万人）,0.1686,+,原已为相对量，保留,,全国,0.031
教育,教育规模,高等教育毕业生数占常住人口比重（%）,0.3345,+,原“高等教育普通本专科毕业生数+研究生毕业生数” → 除以常住人口,,全国,0.031
教育,教育规模,生师比（学生数/专任教师数）,0.068,+,原“专任教师数/学生数”取倒数，并作为负向指标,,全国,0.031
教育,教育质量,人均受教育年限（年）,0.1568,+,原已为相对量，保留,,全国,0.1796
教育,教育质量,高中阶段毛入学率（%）,0.1839,+,原已为相对量，保留,,全国,0.1796
教育,教育质量,高等教育毛入学率（%）,0.2603,+,原已为相对量，保留,,全国,0.1796
教育,教育质量,义务教育巩固率（%）,0.1727,+,原已为相对量，保留,,全国,0.1796
教育,教育质量,国家财政性教育经费占GDP比重（%）,0.2263,+,原已为占比，保留,,全国,0.1796
教育,教育投入,生均教育经费支出（万元/人）,0.2553,+,原已为人均，保留,,全国,0.5546
教育,教育投入,教育支出占财政支出比重（%）,0.1369,+,原“教育支出水平”明确为占比,,全国,0.5546
教育,教育投入,人均教育固定资产总值（万元/人）,0.1363,+,原“教育固定资产总值” → 除以常住人口,,全国,0.5546
教育,教育投入,教育从业人员占从业人员比重（%）,0.1195,+,原已为占比，保留,,全国,0.5546
教育,教育投入,教育业平均工资与社会平均工资之比（%）,0.092,+,原“教育业平均工资” → 相对化（可选，亦可保留绝对值）,,全国,0.5546
教育,教育投入,每万人口普通高校R&D全时人员数（人/万人）,0.196,+,原“普通高校R&D全时人员数” → 除以常住人口,,全国,0.5546
教育,教育投入,每万人口普通高校R&D课题数（项/万人）,0.064,+,原“普通高校R&D课题数” → 除以常住人口,,全国,0.5546
教育,教育产出,每万人口普通高校发表科技论文数（篇/万人）,0.1545,+,原“普通高校发表科技论文数” → 除以常住人口,,全国,0.2348
教育,教育产出,人均普通高校专利转让、许可收入（元/人）,0.762,+,原“专利转让、许可收入” → 除以常住人口,,全国,0.2348
教育,教育产出,每万人口普通高校出版科技著作数（部/万人）,0.0835,+,原“普通高校出版科技著作数” → 除以常住人口,,全国,0.2348
科技,科技投入,每万人口科技人员数（人/万人）,0.2943,+,原“科技人员投入强度”可能已是相对量，统一为每万人口。需明确具体指标,,全国,0.0842
科技,科技投入,科技人员中高层次人才占比（%）,0.3535,+,原“科技人员投入质量” → 建议用硕博士或高级职称占比。需明确具体指标,,全国,0.0842
科技,科技投入,R&D经费占GDP比重（%）,0.2942,+,原“科研经费投入强度”，保留,,全国,0.0842
科技,科技投入,人均R&D经费（元/人）,0.058,+,原“科研经费投入力度”→ 可转化为人均或占GDP比重，选人均。需明确具体指标,,全国,0.0842
科技,科技产出,政府科技支出占财政支出比重（%）,0.0679,+,原“政府科技投入强度”，保留，需明确具体指标,,全国,0.4781
科技,科技产出,每万人口发明专利授权数（件/万人）,0.1346,+,原“发明专利授予数量” → 除以常住人口,,全国,0.4781
科技,科技产出,每万人口实用新型授权数（件/万人）,0.1749,+,原“实用新型授予数量” → 除以常住人口,,全国,0.4781
科技,科技产出,人均技术市场交易额（元/人）,0.1648,+,原“技术市场交易额” → 除以常住人口,,全国,0.4781
科技,科技产出,技术市场活跃度（技术交易额/GDP）,0.1122,+,原“技术市场活跃度”（可能已是占比），保留,,全国,0.4781
科技,科技产出,人均新产品销售收入（元/人）,0.3456,+,原“新产品销售收入” → 除以常住人口,,全国,0.4781
科技,科技基础,科学技术水平（综合指数）,0.0587,+,原“科学技术水平”（可能为合成指标），保留,,全国,0.418
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.0516,+,原“工业机器人密度”通常已是此单位，保留,,全国,0.418
科技,科技基础,人工智能应用水平（指数或渗透率）,0.1258,+,原指标，保留（需明确定义）,,全国,0.418
科技,科技基础,互联网普及率（%）,0.087,+,原“互联网普及度”，保留,,全国,0.418
科技,科技基础,人均电信业务量（元/人）,0.421,+,原“电信业务总量” → 除以常住人口,,全国,0.418
科技,科技基础,产业结构高级化指数（三产/二产）,0.0993,+,原“产业结构高级化”，保留,,全国,0.418
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.0322,+,原指标，保留,,全国,0.418
科技,科技基础,每百万人口研究与开发机构数（个/百万人）,0.0669,+,原“研究与开发机构数量” → 除以常住人口（百万人）,,全国,0.418
科技,科技基础,每百万人口高技术产业企业数（个/百万人）,0.0575,+,原“高技术产业企业数量” → 除以常住人口,,全国,0.418
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.1711,+,原“科研经费利用效率”，保留,,全国,0.0197
科技,科技环境,全员劳动生产率（万元/人）,0.1438,+,原已为人均产出，保留,,全国,0.0197
