level1,level2,level3,weight,direction,source,unit,sheet,weight_l2
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.059936,+,,,地级市,0.708124
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.705998,+,,,地级市,0.708124
教育,教育规模,万人大学生数（人/万人）,0.049446,+,,,地级市,0.708124
教育,教育规模,每万人口高校毕业生数（人/万人）,0.184557,+,,,地级市,0.708124
教育,教育规模,生师比（学生数/专任教师数）,6.3e-05,+,,,地级市,0.708124
教育,教育质量,人均受教育年限（年）,1.0,+,,,地级市,0.007004
教育,教育投入,教育支出占财政支出比重（%）,1.0,+,,,地级市,0.284872
科技,科技投入,每万人口科技人员数（人/万人）,0.352563,+,,,地级市,0.317026
科技,科技投入,R&D经费占GDP比重（%）,0.352563,+,,,地级市,0.317026
科技,科技投入,人均R&D经费（元/人）,0.294874,+,,,地级市,0.317026
科技,科技产出,每万人口发明专利授权数（件/万人）,0.513423,+,,,地级市,0.43961
科技,科技产出,每万人口实用新型授权数（件/万人）,0.192545,+,,,地级市,0.43961
科技,科技产出,人均新产品销售收入（元/人）,0.294032,+,,,地级市,0.43961
科技,科技基础,科学技术水平（综合指数）,0.033615,+,,,地级市,0.053215
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.009427,+,,,地级市,0.053215
科技,科技基础,人工智能应用水平（指数或渗透率）,0.026037,+,,,地级市,0.053215
科技,科技基础,互联网普及率（%）,0.036777,+,,,地级市,0.053215
科技,科技基础,人均电信业务量（元/人）,0.881518,+,,,地级市,0.053215
科技,科技基础,产业结构高级化指数（三产/二产）,0.010459,+,,,地级市,0.053215
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.002167,+,,,地级市,0.053215
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.37796,+,,,地级市,0.190149
科技,科技环境,全员劳动生产率（万元/人）,0.046476,+,,,地级市,0.190149
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,4.5e-05,+,,,地级市,0.190149
科技,科技环境,资源利用指数（综合）,0.4776,+,,,地级市,0.190149
科技,科技环境,环境污染治理投资占GDP比重（%）,0.097919,+,,,地级市,0.190149
人才,人才规模,人才人口密度（人/平方公里）,0.066609,+,,,地级市,0.324369
人才,人才规模,普通高等学校在校生人数 / 年末人口数量（%）,0.197854,+,,,地级市,0.324369
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.028125,+,,,地级市,0.324369
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.707412,+,,,地级市,0.324369
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.847879,+,,,地级市,0.139677
人才,人才结构,人力资本水平（人均受教育年限，年）,0.102194,+,,,地级市,0.139677
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.049927,+,,,地级市,0.139677
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.1077,+,,,地级市,0.254018
人才,人才发展环境,建成区绿化覆盖率（%）,0.381998,+,,,地级市,0.254018
人才,人才发展环境,人均建成区绿地面积（平方米/人）,0.083821,+,,,地级市,0.254018
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.426481,+,,,地级市,0.254018
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.874922,+,,,地级市,0.281936
人才,人才产出,每万人口人才称号数量（人次/万人）,0.125078,+,,,地级市,0.281936
