level1,level2,level3,weight,direction,source,unit,sheet,weight_l2
教育,教育规模,每百万人口普通高校数量（所/百万人）,0.115252,+,,,省份,0.085847
教育,教育规模,每百万人口中小学学校数量（所/百万人）,0.140097,+,,,省份,0.085847
教育,教育规模,万人大学生数（人/万人）,0.041776,+,,,省份,0.085847
教育,教育规模,每万人口高校毕业生数（人/万人）,0.126668,+,,,省份,0.085847
教育,教育规模,高等教育毕业生数占常住人口比重（%）,0.555823,+,,,省份,0.085847
教育,教育规模,生师比（学生数/专任教师数）,0.020384,+,,,省份,0.085847
教育,教育质量,人均受教育年限（年）,0.139658,+,,,省份,0.127097
教育,教育质量,国家财政性教育经费占GDP比重（%）,0.860342,+,,,省份,0.127097
教育,教育投入,生均教育经费支出（万元/人）,0.019293,+,,,省份,0.21055
教育,教育投入,教育支出占财政支出比重（%）,0.058095,+,,,省份,0.21055
教育,教育投入,人均教育固定资产总值（万元/人）,0.102215,+,,,省份,0.21055
教育,教育投入,教育从业人员占从业人员比重（%）,0.679826,+,,,省份,0.21055
教育,教育投入,教育业平均工资与社会平均工资之比（%）,0.033506,+,,,省份,0.21055
教育,教育投入,每万人口普通高校R&D全时人员数（人/万人）,0.047105,+,,,省份,0.21055
教育,教育投入,每万人口普通高校R&D课题数（项/万人）,0.05996,+,,,省份,0.21055
教育,教育产出,每万人口普通高校发表科技论文数（篇/万人）,0.09754,+,,,省份,0.576506
教育,教育产出,人均普通高校专利转让、许可收入（元/人）,0.853591,+,,,省份,0.576506
教育,教育产出,每万人口普通高校出版科技著作数（部/万人）,0.048869,+,,,省份,0.576506
科技,科技投入,每万人口科技人员数（人/万人）,0.113822,+,,,省份,0.599848
科技,科技投入,科技人员中高层次人才占比（%）,0.292001,+,,,省份,0.599848
科技,科技投入,R&D经费占GDP比重（%）,0.113821,+,,,省份,0.599848
科技,科技投入,人均R&D经费（元/人）,0.480356,+,,,省份,0.599848
科技,科技产出,政府科技支出占财政支出比重（%）,0.037492,+,,,省份,0.199969
科技,科技产出,每万人口发明专利授权数（件/万人）,0.138968,+,,,省份,0.199969
科技,科技产出,每万人口实用新型授权数（件/万人）,0.141612,+,,,省份,0.199969
科技,科技产出,人均技术市场交易额（元/人）,0.175942,+,,,省份,0.199969
科技,科技产出,技术市场活跃度（技术交易额/GDP）,0.367304,+,,,省份,0.199969
科技,科技产出,人均新产品销售收入（元/人）,0.138682,+,,,省份,0.199969
科技,科技基础,科学技术水平（综合指数）,0.071056,+,,,省份,0.038302
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.075653,+,,,省份,0.038302
科技,科技基础,人工智能应用水平（指数或渗透率）,0.089753,+,,,省份,0.038302
科技,科技基础,互联网普及率（%）,0.148687,+,,,省份,0.038302
科技,科技基础,人均电信业务量（元/人）,0.14292,+,,,省份,0.038302
科技,科技基础,产业结构高级化指数（三产/二产）,0.080042,+,,,省份,0.038302
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.007309,+,,,省份,0.038302
科技,科技基础,每百万人口研究与开发机构数（个/百万人）,0.253543,+,,,省份,0.038302
科技,科技基础,每百万人口高技术产业企业数（个/百万人）,0.131037,+,,,省份,0.038302
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.562647,+,,,省份,0.161881
科技,科技环境,全员劳动生产率（万元/人）,0.065088,+,,,省份,0.161881
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,0.000291,+,,,省份,0.161881
科技,科技环境,资源利用指数（综合）,0.168433,+,,,省份,0.161881
科技,科技环境,环境污染治理投资占GDP比重（%）,0.040479,+,,,省份,0.161881
科技,科技环境,政府支持力度（科技拨款/财政支出）,0.163062,+,,,省份,0.161881
人才,人才规模,人才人口密度（人/平方公里）,0.434987,+,,,省份,0.19986
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.076824,+,,,省份,0.19986
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.234037,+,,,省份,0.19986
人才,人才规模,规模以上工业企业R&D人员全时当量（人年）→ 每万人口全时当量（人年/万人）,0.254152,+,,,省份,0.19986
人才,人才结构,高级职称人才占从业人员比例（%）,0.182655,+,,,省份,0.058269
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.432606,+,,,省份,0.058269
人才,人才结构,人力资本水平（人均受教育年限，年）,0.13225,+,,,省份,0.058269
人才,人才结构,人力资本结构高级化指数（高技能/低技能比值）,0.043931,+,,,省份,0.058269
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.208558,+,,,省份,0.058269
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.157149,+,,,省份,0.33464
人才,人才发展环境,科研人员平均工资水平（万元/年）,0.035589,+,,,省份,0.33464
人才,人才发展环境,科研人员人均科技研发经费投入（万元/人）,0.713433,+,,,省份,0.33464
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.093829,+,,,省份,0.33464
人才,人才产出,人才平均科技论文（篇/人）,0.321296,+,,,省份,0.407231
人才,人才产出,人才平均科技成果（项/人）,0.218659,+,,,省份,0.407231
人才,人才产出,人才平均专利数（件/人）,0.047627,+,,,省份,0.407231
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.321861,+,,,省份,0.407231
人才,人才产出,每万人口人才称号数量（人次/万人）,0.090557,+,,,省份,0.407231
